dateopen,open
2018-06-13,6596.879883
2018-06-14,6342.75
2018-06-15,6674.080078
2018-06-16,6455.450195
2018-06-17,6545.529785
2018-06-18,6510.069824
2018-06-19,6742.390137
2018-06-20,6770.759766
2018-06-21,6780.089844
2018-06-22,6737.879883
2018-06-23,6090.100098
2018-06-24,6164.279785
2018-06-25,6171.970215
2018-06-26,6253.549805
2018-06-27,6084.399902
2018-06-28,6153.160156
2018-06-29,5898.129883
2018-06-30,6214.220215
2018-07-01,6411.680176
2018-07-02,6380.379883
2018-07-03,6596.660156
2018-07-04,6550.870117
2018-07-05,6599.709961
2018-07-06,6638.689941
2018-07-07,6668.709961
2018-07-08,6857.799805
2018-07-09,6775.080078
2018-07-10,6739.209961
2018-07-11,6330.77002
2018-07-12,6396.779785
2018-07-13,6235.029785
2018-07-14,6247.5
2018-07-15,6272.700195
2018-07-16,6357.009766
2018-07-17,6739.649902
2018-07-18,7315.319824
2018-07-19,7378.200195
2018-07-20,7467.399902
2018-07-21,7352.720215
2018-07-22,7417.799805
2018-07-23,7414.709961
2018-07-24,7716.509766
2018-07-25,8379.660156
2018-07-26,8176.850098
2018-07-27,7950.399902
2018-07-28,8169.060059
2018-07-29,8205.820313
2018-07-30,8221.58
2018-07-31,8181.2
2018-08-01,7769.04
2018-08-02,7634.19
2018-08-03,7562.14
2018-08-04,7438.67
2018-08-05,7031.08
2018-08-06,7062.94
2018-08-07,6958.32
2018-08-08,6746.85
2018-08-09,6305.56
2018-08-10,6571.42
2018-08-11,6185.79
2018-08-12,6283.65
2018-08-13,6341.36
2018-08-14,6287.66
2018-08-15,6221.42
2018-08-16,6294.23
2018-08-17,6340.91
2018-08-18,6583.43
2018-08-19,6422.57
2018-08-20,6500.51
2018-08-21,6301.07
2018-08-22,6486.25
2018-08-23,6371.34
2018-08-24,6551.52
2018-08-25,6719.95
2018-08-26,6754.64
2018-08-27,6710.8
2018-08-28,6891.08
2018-08-29,7091.71
2018-08-30,7043.76
2018-08-31,6973.97
2018-09-01,7044.81
2018-09-02,7189.58
2018-09-03,7279.03
2018-09-04,7263
2018-09-05,7361.46
2018-09-06,6755.14
2018-09-07,6528.92
2018-09-08,6460.17
2018-09-09,6223.38
2018-09-10,6301.57
2018-09-11,6331.88
2018-09-12,6317.01
2018-09-13,6354.24
2018-09-14,6515.41
2018-09-15,6509.4
2018-09-16,6536.68
2018-09-17,6514.06
2018-09-18,6280.91
2018-09-19,6371.85
2018-09-20,6398.85
2018-09-21,6513.87
2018-09-22,6735.05
2018-09-23,6715.32
2018-09-24,6704.77
2018-09-25,6603.64
2018-09-26,6452.79
2018-09-27,6495.29
2018-09-28,6678.75
2018-09-29,6643.1
2018-09-30,6604.71
2018-10-01,6619.85
2018-10-02,6593.24
2018-10-03,6553.86
2018-10-04,6497.91
2018-10-05,6574.15
2018-10-06,6622.45
2018-10-07,6590.68
2018-10-08,6600.19
2018-10-09,6653.08
2018-10-10,6640.29
2018-10-11,6586.74
2018-10-12,6239.25
2018-10-13,6278.08
2018-10-14,6288.49
2018-10-15,6292.64
2018-10-16,6601.41
2018-10-17,6590.52
2018-10-18,6542.33
2018-10-19,6478.07
2018-10-20,6460.92
2018-10-21,6490.09
2018-10-22,6486.05
2018-10-23,6472.36
2018-10-24,6478.89
2018-10-25,6484.65
2018-10-26,6468.44
2018-10-27,6480.84
2018-10-28,6482.66
2018-10-29,6492.35
2018-10-30,6337.04
2018-10-31,6336.99
2018-11-01,6318.14
2018-11-02,6378.92
2018-11-03,6387.24
2018-11-04,6365.47
2018-11-05,6363.62
2018-11-06,6433.38
2018-11-07,6468.5
2018-11-08,6522.27
2018-11-09,6442.6
2018-11-10,6386.13
2018-11-11,6413.63
2018-11-12,6411.76
2018-11-13,6373.19
2018-11-14,6351.24
2018-11-15,5736.15
2018-11-16,5645.32
2018-11-17,5578.58
2018-11-18,5559.74
2018-11-19,5620.78
2018-11-20,4863.93
2018-11-21,4465.54
2018-11-22,4611.57
2018-11-23,4360.7
2018-11-24,4347.69
2018-11-25,3880.78
2018-11-26,4015.07
2018-11-27,3765.95
2018-11-28,3822.47
2018-11-29,4269.004395
2018-11-30,4289.088967
2018-12-01,4024.464242
2018-12-02,4200.73318
2018-12-03,4147.323767
2018-12-04,3886.294876
2018-12-05,3958.894725
2018-12-06,3754.074467
2018-12-07,3512.590409
2018-12-08,3421.910404
2018-12-09,3473.22762
2018-12-10,3612.046395
2018-12-11,3497.554734
2018-12-12,3421.458373
2018-12-13,3487.879358
2018-12-14,3311.751914
2018-12-15,3243.99754
2018-12-16,3236.274773
2018-12-17,3253.122993
2018-12-18,3544.761565
2018-12-19,3706.82485
2018-12-20,3742.195183
2018-12-21,4133.703587
2018-12-22,3898.083677
2018-12-23,4020.994674
2018-12-24,4000.331782
2018-12-25,4081.030471
2018-12-26,3819.666691
2018-12-27,3854.688573
2018-12-28,3653.131929
2018-12-29,3932.491809
2018-12-30,3822.384835
2018-12-31,3866.838999
2019-01-01,3746.713387
2019-01-02,3849.216409
2019-01-03,3931.048638
2019-01-04,3832.039968
2019-01-05,3851.973965
2019-01-06,3836.519158
2019-01-07,4078.585055
2019-01-08,4028.472072
2019-01-09,4031.552016
2019-01-10,4034.411445
2019-01-11,3674.015431
2019-01-12,3686.973097
2019-01-13,3658.868117
2019-01-14,3557.311132
2019-01-15,3704.216308
2019-01-16,3631.509871
2019-01-17,3651.870986
2019-01-18,3677.990584
2019-01-19,3652.377835
2019-01-20,3725.446125
2019-01-21,3600.372739
2019-01-22,3575.08124
2019-01-23,3605.557022
2019-01-24,3584.500301
2019-01-25,3607.390384
2019-01-26,3599.715363
2019-01-27,3604.687267
2019-01-28,3584.283279
2019-01-29,3468.870155
2019-01-30,3443.897062
2019-01-31,3485.40929
2019-02-01,3460.547124
2019-02-02,3484.62588
